sira	karakter	saniye	kar_sn	metin
1	176	11.680	15.07	on altı Ağustos bin sekiz yüz altmış dokuz sabahı bir tepede
2	83	5.120	16.21	Karşılarında Güney Amerika'nın en büyük ordusu vardı ve sava
3	50	3.360	14.88	Bugün Paraguay o günü Çocuk Bayramı olarak anıyor.
4	144	9.280	15.52	on dokuzuncu yüzyılın ortasında Güney Amerika haritasına eği
5	32	2.400	13.33	Paraguay'ın denize çıkışı yoktu.
6	90	6.560	13.72	Onu dünyaya bağlayan tek yol, güneye doğru ağır ağır akan ik
7	86	5.600	15.36	Ve o nehirlerin okyanusa kavuştuğu ağız Paraguay'ın değil, A
8	147	10.080	14.58	Bir ülkenin bütün ihracatı, bütün silah alımı, bütün mühendi
9	74	5.280	14.02	Bu coğrafi ayrıntı, anlatacağım her şeyin altında yatan sess
10	120	8.000	15.00	Bağımsızlığını bin sekiz yüz on birde ilan eden ülkeyi otuz 
11	122	7.520	16.22	Kendisine "Yüce Diktatör" denen bu adam, komşularının iç sav
12	142	9.120	15.57	Dış ticaret devletin tekeline alındı, yabancıların ülkeye gi
13	111	7.200	15.42	bin sekiz yüz kırkta öldüğünde geride yoksul ama borçsuz, dı
14	61	3.840	15.89	Ardından gelen Karlos Antonyo Lopez kapıları aralamayı seçti
15	187	12.960	14.43	bin sekiz yüz kırk birden bin sekiz yüz altmış ikiye kadar s
16	140	9.280	15.09	bin sekiz yüz altmış birde Asunsiyon'da, yani Asunsiyon'da i
17	24	1.920	12.50	Telgraf hatları döşendi.
18	76	4.800	15.83	Devlet okulları açıldı, okuma yazma oranı kıtanın pek çok ye
19	64	4.640	13.79	En dikkat çekici şey ise şuydu: Paraguay'ın hiç dış borcu yo
20	83	5.280	15.72	Latin Amerika'da Londra bankerlerine tek kuruş borcu olmayan
21	39	2.400	16.25	Bu düzenin görünmeyen bir bedeli vardı.
22	30	2.080	14.42	Ülke tuhaf biçimde silahlıydı.
23	150	10.240	14.65	Kimi hesaplara göre Paraguay'ın silah altındaki asker sayısı
24	81	5.920	13.68	Ama bu ordunun tüfekleri eskiydi, topçusu sınırlıydı, subay 
25	62	4.320	14.35	Donanması nehirlerde gösterişliydi, açık denizde hiçbir şeyd
26	87	5.440	15.99	Ve bütün ikmal hattı, düşman olabilecek ülkelerin kıyılarınd
27	70	4.960	14.11	Paraguay güçlü görünüyordu; aslında nefes borusu başkasının 
28	96	6.560	14.63	bin sekiz yüz altmış ikide Karlos Antonyo Lopez ölünce yerin
29	178	11.680	15.24	Genç Lopez, babasının bin sekiz yüz ellilerin başında Avrupa
30	120	7.360	16.30	Kırım Savaşı'nın haberlerini yakından izlemiş, İrlanda doğum
31	181	11.360	15.93	Avrupa'dan iki şeyle dönmüştü: modern bir ordunun neye benze
32	53	3.840	13.80	Bu ikinci fikir, birincisinden çok daha tehlikeliydi.
33	42	2.560	16.41	Denge fikrinin sınandığı yer Uruguay oldu.
34	180	11.040	16.30	Küçük ülkede iktidardaki Blanko hükümetiyle Brezilya arasınd
35	188	11.360	16.55	Solano Lopez otuz Ağustos bin sekiz yüz altmış dörtte Brezil
