sira	karakter	saniye	kar_sn	metin
1	36	2.560	14.06	Eve girdin, kimse bir şey söylemedi.
2	46	3.680	12.50	Ama beş dakika sonra senin de keyfin kaçmıştı.
3	91	6.400	14.22	Aslında o duyguyu kimse sana anlatmadı — sen onu yüzünden, n
4	15	1.440	10.42	Eve giriyorsun.
5	60	4.320	13.89	Kapıyı kapatıyorsun, ceketini asıyorsun, mutfağa geçiyorsun.
6	14	1.120	12.50	Evde biri var.
7	24	1.760	13.64	Sana bir şey söylemiyor.
8	39	3.200	12.19	Kavga yok, ters bir cümle yok, ima yok.
9	47	3.200	14.69	Belki "geldin mi" bile diyor, normal bir sesle.
10	78	4.800	16.25	On dakika sonra tabakları yıkarken içinde bir ağırlık olduğu
11	14	1.600	8.75	Sabah iyiydin.
12	14	1.280	10.94	Yolda iyiydin.
13	15	1.280	11.72	Şimdi değilsin.
14	64	4.480	14.29	Ve elinde tek bir kanıt yok: kimse konuşmadı, hiçbir şey olm
15	58	3.680	15.76	Bu, insanların çoğunun kendini deli gibi hissettiği andır.
16	102	6.880	14.83	Çünkü duyguyu açıklayacak bir olay arıyoruz ve bulamayınca y
17	167	10.880	15.35	Oysa olan şey çok daha sıradan ve çok daha eski: beyninin, s
18	121	7.520	16.09	bin dokuz yüz doksanlarda İsveç'te, Uppsala Üniversitesi'nde
19	165	10.080	16.37	İnsanları bir ekranın karşısına oturttular, yüzlerine yüz ka
20	46	3.040	15.13	Bazıları gülümseyen, bazıları öfkeli yüzlerdi.
21	97	6.080	15.95	Kritik nokta şu: fotoğraflar o kadar kısa süre kaldı ki, kat
22	16	1.440	11.11	otuz milisaniye.
23	30	2.080	14.42	Göz kırpmanın onda biri kadar.
24	55	3.520	15.62	Hemen arkasından başka bir görüntüyle üstü örtülüyordu.
25	60	3.520	17.05	Katılımcılara sorduğunuzda "nötr bir şey gördüm" diyorlardı.
26	21	1.440	14.58	Ama kasları görmüştü.
27	95	5.760	16.49	Gülümseyen yüz gösterildiğinde elmacık kemiğinin üstündeki, 
28	79	5.440	14.52	Öfkeli yüz gösterildiğinde kaşların arasındaki, çatmayı yapa
29	59	3.840	15.36	Ölçülebilir ama gözle görülemeyecek kadar küçük hareketler.
30	60	4.160	14.42	Yani insan, gördüğünü bilmediği bir ifadeyi taklit ediyordu.
31	126	7.520	16.76	Bu kopyalama refleksinin neden var olduğuna dair en yaygın a
32	183	11.360	16.11	bin dokuz yüz doksanlarda Parma'da Giacomo Rizzolatti'nin ek
33	131	8.000	16.38	Bu bulgunun insandaki duygu hayatına ne kadar doğrudan çevri
34	52	3.360	15.48	Beyin, karşısındakini anlamak için onu çözümlemiyor.
35	51	3.840	13.28	Onu kısa devreyle, ucundan, kendi üzerinde deniyor.
36	96	5.920	16.22	Başkasının yüzünü bir milimetre kendi yüzünde kuruyor ve o k
37	38	3.040	12.50	Anlamanın en hızlı yolu, taklit etmek.
38	47	2.880	16.32	Sorun şu ki bu yol bir de geri besleme yapıyor.
39	96	6.080	15.79	Yüz kasların bir ifadeyi kurduğunda, beynine "şu an böyle hi
40	189	12.320	15.34	Amerikalı psikolog Elaine Hatfield ve arkadaşları buna bakıp
41	72	5.120	14.06	sonunda karşındakinin duygusunun soluk bir kopyasını gerçekt
42	34	2.400	14.17	Duygusal bulaşma dedikleri şey bu.
43	76	4.960	15.32	Bulaşma kelimesi bilerek seçilmiş; çünkü mikrop gibi, senin 
44	42	2.720	15.44	Ve burada bölümün asıl sorusuna geliyoruz.
45	43	3.360	12.80	Tamam da, kimse konuşmadıysa ne kopyalandı?
46	93	5.440	17.10	bin dokuz yüz seksen birde Howard Friedman ve Ronald Riggio 
47	178	12.000	14.83	Birbirini tanımayan insanları küçük gruplar hâlinde aynı oda
48	16	1.280	12.50	Sadece oturuldu.
49	33	2.560	12.89	Sonra ruh hâlleri tekrar ölçüldü.
50	78	5.280	14.77	Sessizliğin sonunda gruptaki insanların duygu durumları birb
51	139	9.920	14.01	Daha da ilginci, kimin kime yaklaştığı rastgele değildi: yüz
52	44	3.040	14.47	Tek yönlü, neredeyse hiyerarşik bir aktarım.
53	54	3.520	15.34	Kimse ağzını açmadan bir odanın havası belirleniyordu.
54	68	4.640	14.66	Çünkü konuşma, duygunun taşıyıcılarından yalnızca biri ve en
55	177	13.920	12.72	Odaya girdiğin anda beynin şunları topluyor: omuzların duruş
56	45	2.880	15.62	birinin sana bakmak için başını çevirme hızı.
57	53	3.680	14.40	Cevabın gelmesi bir saniye yerine iki saniye sürmesi.
58	22	1.920	11.46	Sesin tonundaki düşüş.
59	42	3.040	13.82	Bunların hiçbiri cümle değil, hepsi bilgi.
60	123	7.840	15.69	Sen bilinçli olarak "bugün bunun canı sıkkın" sonucuna varma
61	59	3.680	16.03	İşte moralinin neden "sebepsiz" bozulduğunun cevabı burada.
62	15	1.120	13.39	Sebepsiz değil.
63	103	6.560	15.70	Sebebi var ama sebebi hiçbir zaman kelimelere dökülmediği iç
64	40	2.720	14.71	Elinde açıklama yok, yalnızca sonuç var.
65	103	7.040	14.63	Ve insan zihni açıklamasız duyguya tahammül etmiyor; boşluğu
66	188	12.480	15.06	Genellikle de en yakındaki malzemeyi kullanıyor: "Ben zaten 
67	42	2.720	15.44	Bu düzeneği kapatmak diye bir seçenek yok.
68	128	8.320	15.38	Kapatabilseydin de istemezdin: aynı mekanizma, birinin yüzün
69	44	2.880	15.28	Empatiyle taşıyıcılık aynı kablodan geçiyor.
70	66	4.480	14.73	Yapılabilecek olan, kabloyu kesmek değil, araya bir filtre k
71	62	4.160	14.90	Ve filtrenin ilk parçası sandığından daha basit: adını koyma
72	54	3.200	16.88	Duyguyu kelimeye çevirmenin kendisinin bir etkisi var.
73	194	11.680	16.61	Kaliforniya Üniversitesi'nde Matthew Lieberman'ın yürüttüğü 
74	81	4.960	16.33	buna karşılık kelimeye çevirme işini yapan ön bölgelerin dev
75	72	4.480	16.07	Duygunun üzerine bir etiket yapıştırmak, onu yaşamanın dozun
76	44	3.200	13.75	Bu bir numara değil, zihnin normal işleyişi.
77	75	4.480	16.74	Dolayısıyla o mutfakta yapılacak ilk şey, morali düzeltmeye 
78	91	6.400	14.22	"Şu an içimde bir ağırlık var ve eve girdiğimde yoktu" cümle
79	41	3.200	12.81	Sonra tek bir soru: bu benim mi, onun mu?
80	78	5.280	14.77	Sorunun cevabını kesin olarak bulamayabilirsin, zaten önemli
81	85	5.600	15.18	Önemli olan, o soruyu sorduğun anda duyguyla aranda bir mili
82	47	3.040	15.46	Taşıyıcıyla filtre arasındaki fark o milimetre.
83	21	1.760	11.93	İkinci parça bedende.
84	76	4.960	15.32	Kopyalama yüz ve duruş üzerinden geldiğine göre, geri yol da
85	148	9.600	15.42	Tuhaf ama işe yarayan bir kanıt şuradan geliyor: yüz kasları
86	81	5.280	15.34	bu kişilerin başkalarının yüz ifadelerini okumakta bir mikta
87	67	4.320	15.51	Yani yüzün taklit edemediğinde, beynin okuma kapasitesi de d
88	114	8.320	13.70	Bu, tedavi önerisi değil elbette; gösterdiği şey şu: yüzün v
89	98	6.240	15.71	Pratikte bunun karşılığı, o an bedeninde neyin kopyalandığın
90	17	1.280	13.28	Çeneni gevşetmek.
91	18	1.440	12.50	Omuzları indirmek.
92	39	3.040	12.83	Nefesi uzatmak, özellikle nefes verişi.
93	57	4.000	14.25	Ayağa kalkıp odayı değiştirmek, iki dakika dışarı çıkmak.
94	114	7.680	14.84	Kulağa fazla küçük geliyor, ama kopyalama da küçük hareketle
95	58	4.000	14.50	Sessizce yüklenen bir duruma, sessizce verilmiş bir yanıt.
96	65	4.800	13.54	Üçüncü parça, çoğu insanın atladığı yer: sen de yayın yapıyo
97	177	10.400	17.02	Bu bölümün tamamı boyunca alıcı tarafta durduk, ama Friedman
98	36	2.720	13.24	Sadece daha ifadeli olmak yetiyordu.
99	70	4.800	14.58	Evde, ofiste, arabada senin yüzün de birilerinin gündemini b
100	129	7.840	16.45	Kötü bir gün geçirmiş olmak suç değil; ama "ben bir şey deme
101	30	2.080	14.42	Bir şey demeden de söylüyoruz.
102	36	2.240	16.07	Bunun çözümü sahte gülümsemek değil.
103	58	3.840	15.10	Çok daha ucuz bir şey: bir cümleyle bilgiyi dile çevirmek.
104	196	12.480	15.71	"Bugün berbat bir gün geçirdim, seninle ilgisi yok, bir saat
105	90	5.280	17.05	Odadaki gerilimin büyük kısmı duygunun kendisinden değil, aç
106	50	3.520	14.20	Belirsiz tehdit, bilinen tehditten daha yorucudur.
107	43	2.720	15.81	Son olarak, filtre olmak duvar olmak değil.
108	65	4.320	15.05	Yakın birinin hâlini hiç hissetmemek bir başarı değil, bir k
109	96	6.080	15.79	Amaç, başkasının duygusunu alıp kendi kimliğine yapıştırmada
110	74	4.960	14.92	"Onun canı sıkkın" ile "benim hayatım kötü" arasındaki farkı
111	43	3.040	14.14	Bulaşma otomatik; ayırt etme öğrenilebilir.
112	37	2.400	15.42	Ve burada bir sınır çizmek gerekiyor.
113	85	5.600	15.18	Anlattığım şey, gün içinde gelip giden, kaynağı fark edildiğ
114	162	11.680	13.87	Eğer moraldeki bozulma odaya, kişiye, güne bağlı olmaktan çı
115	91	6.080	14.97	bu artık başkasının duygusunu taşımak değildir ve bu bölümde
116	69	4.480	15.40	O noktada yapılacak doğru şey, bir ruh sağlığı uzmanıyla kon
117	78	5.280	14.77	Nefes egzersizi, odayı değiştirmekten daha büyük şeyler için
118	161	10.400	15.48	Ama o sıradan akşam için, mutfakta, elinde açıklaması olmaya
119	45	2.880	15.62	Kopyayı fark ettiğin an, o artık senin değil.
120	49	3.040	16.12	Nöron Psikoloji'de bugünkü bölümün sonuna geldik.
121	41	2.560	16.02	Yeni bir hikâyede yeniden buluşmak üzere.
