sira	karakter	saniye	kar_sn	metin
1	106	6.720	15.77	At fifty, a man who is world-famous, wealthy, with healthy c
2	209	11.680	17.89	Nothing is missing; but there is not a single answer he can 
3	125	7.040	17.76	Around the year eighteen seventy-nine, the most famous write
4	144	8.000	18.00	On the upper floor of the manor at Yasnaya Polyana, in the r
5	21	2.240	9.37	Tolstoy took it down.
6	67	3.360	19.94	He also stopped taking his rifle with him when he went out h
7	85	4.960	17.14	He said nothing about this to anyone, consulted no doctor, c
8	191	10.080	18.95	Years later, in the slim book he wrote under the title A Con
9	48	2.720	17.65	so that he would not turn that rifle on himself.
10	49	2.880	17.01	There was nothing going wrong in this man's life.
11	23	1.920	11.98	He was fifty years old.
12	184	9.440	19.49	War and Peace had been published in eighteen sixty-nine, Ann
13	107	6.240	17.15	He owned thousands of acres of land, he had a large and lovi
14	93	5.120	18.16	He could swing a scythe beside the peasants for hours, ride 
15	84	5.760	14.58	He had money, he had fame, he had health, and the people he 
16	55	3.520	15.62	In the ordinary sense, no catastrophe had befallen him.
17	192	10.400	18.46	And this is exactly why he had such trouble making sense of 
18	116	7.200	16.11	When Tolstoy describes that state he uses the word illness, 
19	30	3.040	9.87	Life, he said, came to a stop.
20	169	8.800	19.20	I was breathing, I was eating and drinking, I was sleeping; 
21	36	2.240	16.07	Because there was nothing I desired.
22	45	3.040	14.80	What stopped him was not pain but a question.
23	96	6.240	15.38	A simple question, a childish one, and for that very reason 
24	44	3.200	13.75	He would enlarge his estate — and then what?
25	44	3.200	13.75	He would raise his children — and then what?
26	168	8.800	19.09	He would become the greatest writer in the world — suppose h
27	56	3.520	15.91	Every answer dissolved in the question that followed it.
28	77	4.480	17.19	Was there anything in his life whose meaning his own death c
29	37	2.560	14.45	That was what Tolstoy could not find.
30	87	4.960	17.54	In the book, to convey this feeling, he recalls an old story
31	83	4.800	17.29	A traveller fleeing a wild animal across the steppe throws h
32	62	3.520	17.61	As he falls he catches hold of a bush growing out of the wal
33	97	6.080	15.95	Above him the animal is waiting; below, at the bottom of the
34	37	2.240	16.52	He can neither climb out nor go down.
35	110	5.760	19.10	At the root of the branch he is clinging to, two mice, one w
36	47	3.520	13.35	The branch will give way soon, and he knows it.
37	128	6.720	19.05	And at precisely that moment the traveller notices a few dro
38	81	5.280	15.34	What Tolstoy said about his own life was this: the honey no 
39	94	4.800	19.58	The two mice were still there, and he could do nothing but w
40	142	6.880	20.64	Now let us step out of that room and look at our own time, b
41	19	2.080	9.13	The promotion came.
42	15	1.440	10.42	The raise came.
43	61	3.200	19.06	The house you moved into finally became the house you wanted
44	94	5.440	17.28	Everything you spent years describing as "once this is over,
45	113	6.880	16.42	And on a Sunday evening, in the kitchen, over the sound of t
46	40	2.720	14.71	It is not something you could cry about.
47	26	1.600	16.25	It is not a crisis either.
48	140	7.840	17.86	It is not the sort of thing you can explain to anyone, becau
49	142	7.360	19.29	In two thousand two, the sociologist Corey Keyes of Emory Un
50	104	6.720	15.48	No illness, but no flourishing either; the person is neither
51	159	8.960	17.75	The most uncomfortable part of Keyes's work was this: most p
52	80	4.160	19.23	There is an older and even more irritating piece of evidence
53	131	7.200	18.19	In a famous study published in nineteen seventy-eight, peopl
54	107	6.400	16.72	The winners, as one might expect, did not report any strikin
55	148	8.800	16.82	What is more, the pleasure they took in small daily things —
56	64	3.360	19.05	When the big thing arrived, the small things lost their flav
57	116	6.240	18.59	The human mind quickly treats every ground it rises to as th
58	73	4.800	15.21	So the cord in Tolstoy's room is not some curiosity of a dis
59	94	5.440	17.28	It is the same emptiness, arriving together with every advan
60	112	6.240	17.95	And the first lesson of that emptiness is this: solving the 
61	27	2.720	9.93	They are two separate jobs.
62	167	8.320	20.07	When you finish the first one, the second stands in front of
63	109	6.240	17.47	The man who asked this question in its harshest form treated
64	143	8.320	17.19	Camus opens his essay The Myth of Sisyphus, published in nin
65	195	10.400	18.75	Because in his view all the other questions — how many dimen
66	44	2.720	16.18	First that is answered, and then one thinks.
67	108	6.240	17.31	What Camus calls the absurd is not the idea that life is sen
68	111	6.080	18.26	The absurd is neither inside the world nor inside the human 
69	121	7.360	16.44	On one side stands the human mind, which wants meaning, whic
70	43	4.000	10.75	On the other side stands a silent universe.
71	47	2.720	17.28	The absurd is the name of the gap between them.
72	75	4.640	16.16	As long as the demand continues and no answer arrives, the a
73	184	11.040	16.67	If a person gives up his demands, or persuades himself that 
74	109	6.560	16.62	And it is here that Camus closes off the two exits that his 
75	36	3.520	10.23	The first is bodily escape: suicide.
76	194	10.880	17.83	Camus rejects it, because it is not a way of removing the ab
77	75	4.640	16.16	The second is intellectual escape — what Camus calls philoso
78	139	7.680	18.10	It is the act of hurriedly inventing an absolute to fill a s
79	143	8.000	17.88	Camus's objection is not to belief but to the leap itself; n
80	78	4.960	15.73	Only one thing remains: to live in the emptiness knowingly, 
81	24	1.920	12.50	Camus calls this revolt.
82	74	4.160	17.79	And to describe it he chooses the most helpless figure in Gr
83	80	4.640	17.24	Sisyphus has been condemned by the gods to push a rock to th
84	108	5.600	19.29	When he reaches the summit the rock rolls back down under it
85	13	1.280	10.16	For eternity.
86	102	5.440	18.75	This is the most terrible punishment the gods could conceive
87	98	5.120	19.14	Camus looks not at the part of the story everyone talks abou
88	76	4.000	19.00	After the rock has rolled away, while Sisyphus walks back do
89	86	5.280	16.29	In that walk there is no work, no effort, no distraction; th
90	55	3.040	18.09	In that moment Sisyphus knows exactly what he is doing.
91	147	8.960	16.41	And for Camus his tragedy and his deliverance lie in the sam
92	44	2.880	15.28	The man who sees his fate becomes its owner.
93	181	10.240	17.68	Camus ends the essay by saying that one must imagine Sisyphu
94	58	3.840	15.10	To find today's version of this, no mythology is required.
95	63	4.800	13.12	Monday morning, the same road, the same traffic, the same li
96	69	4.000	17.25	The inbox that took four hundred lines yesterday is full aga
97	60	4.160	14.42	The kitchen that was tidied yesterday is a mess again today.
98	58	2.880	20.14	The washing that was done yesterday is back in the basket.
99	145	8.000	18.12	A large part of modern life is the repetition of work whose 
100	98	5.920	16.55	The "and then what" that stopped Tolstoy takes an everyday s
101	66	4.160	15.87	Camus's answer is not comforting, but it is not an evasion e
102	47	2.720	17.28	The universe is not going to give you a reason.
103	33	2.400	13.75	If you are waiting, stop waiting.
104	98	4.960	19.76	You will set the reason yourself, and you will set it knowin
105	186	9.440	19.70	Because for Camus meaning is not a treasure that has been fo
106	61	3.200	19.06	but because you have seen that stopping has no reward either
107	152	7.840	19.39	And this is where the tension reaches its peak: a person wit
108	33	2.240	14.73	But an objection appears at once.
109	61	3.360	18.15	All of this assumes that meaning is invented by human beings
110	101	5.440	18.57	What if the source of the emptiness is not the silence of th
111	125	6.720	18.60	This question was asked eight hundred and fifty years before
112	70	4.000	17.50	Al-Ghazali was born around ten fifty-eight in the city of Tu
113	108	6.880	15.70	In his early thirties he was appointed by the vizier Nizam a
114	80	4.320	18.52	This was the greatest intellectual position imaginable in th
115	164	8.000	20.50	Hundreds of students followed his lectures, his legal opinio
116	204	10.240	19.92	He stood at the summit of theology, jurisprudence and logic;
117	101	5.760	17.53	In ten ninety-five, roughly four years after taking up the p
118	98	5.920	16.55	It began differently from Tolstoy's collapse: al-Ghazali's c
119	55	3.040	18.09	He climbed into the teaching chair and could not speak.
120	21	1.600	13.12	His tongue seized up.
121	95	5.920	16.05	He became unable to lecture, unable to eat; by his own accou
122	203	10.240	19.82	The physicians of the age examined him and finally said, wit
123	44	4.000	11.00	Al-Ghazali's own diagnosis is harsher still.
124	168	8.640	19.44	In the small book in which he described this period of his l
125	25	2.240	11.16	He was teaching, but why?
126	132	6.880	19.19	He looked for the answer and found the one he did not want: 
127	95	5.280	17.99	The things he knew were true; his knowledge was sound; but t
128	128	6.400	20.00	The crisis described in Deliverance from Error is not a cris
129	135	7.200	18.75	When the distance grows between what a person knows and how 
130	51	3.040	16.78	He remained in this condition for about six months.
131	75	4.800	15.62	Then he did something that is hard to understand, for his ag
132	26	2.240	11.61	He gave up his profession.
133	147	8.160	18.01	He distributed most of his wealth, keeping back only enough 
134	113	5.760	19.62	He disguised his departure as a pilgrimage, because he knew 
135	20	1.920	10.42	He went to Damascus.
136	49	2.880	17.01	He withdrew into seclusion in the Umayyad Mosque.
137	76	4.800	15.83	From there he went on to Jerusalem, to Hebron, and then to M
138	39	2.880	13.54	This absence lasted about eleven years.
139	126	6.560	19.21	The man who had been known across the world while lecturing 
140	124	6.560	18.90	The fruit of those years became one of the most widely read 
141	79	4.480	17.63	The idea at the centre of that book is the exact answer to a
142	124	6.240	19.87	In his view a person's sickness begins not because of what h
143	107	6.400	16.72	The heart is like a mirror; what accumulates on it is not ig
144	194	10.880	17.83	For this reason the path al-Ghazali proposes is not the acqu
145	78	4.480	17.41	And the most important part of the story is not his withdraw
146	107	6.400	16.72	In eleven oh six al-Ghazali stepped back into the teaching c
147	46	2.720	16.91	He returned to precisely the work he had fled.
148	72	3.680	19.57	What had changed was not the work but the intention of the m
149	93	5.600	16.61	In his own words, he was now doing the same thing, but he wa
150	63	4.640	13.58	He died in eleven eleven in the city where he was born, in T
151	109	5.440	20.04	The difference here matters, because Camus's question and al
152	56	3.520	15.91	Camus asks what one should do if the universe is silent.
153	141	7.680	18.36	Al-Ghazali, from within a tradition that does not consider t
154	87	4.960	17.54	For him the emptiness was not coming down from above; it was
155	121	7.520	16.09	But these two men share an intuition, and it is that intuiti
156	124	6.400	19.38	When all the goals that keep a person occupied have been use
157	88	5.760	15.28	Tolstoy's fields, Camus's rock, al-Ghazali's chair — in all 
158	67	3.680	18.21	The top has been reached, and at the top there is nothing bu
159	120	5.920	20.27	Now let us come to the place all three of these stories quie
160	80	4.480	17.86	All three men searched for meaning, and none of the three fo
161	81	4.000	20.25	They found it at the moment when they stopped searching and 
162	106	5.600	18.93	The person who put this reversal most plainly was someone fo
163	210	11.520	18.23	The Viennese neurologist and psychiatrist Viktor Frankl was 
164	25	2.240	11.16	his brother and his wife.
165	146	8.480	17.22	After the war, in nineteen forty-six, he poured his observat
166	192	10.880	17.65	The central move described in that book, known in English as
167	215	11.520	18.66	For Frankl the question is being put to us; we are not the o
168	168	9.600	17.50	Frankl's most often repeated observation comes out of what h
169	114	6.080	18.75	and that those who had a piece of work waiting to be complet
170	188	12.480	15.06	Meaning, for him, is not an abstract formula but something p
171	73	4.160	17.55	and the attitude taken in the face of a suffering that canno
172	85	4.320	19.68	All three require not the search for something, but stepping
173	98	5.120	19.14	One of the most persistent followers of this idea in our own
174	178	9.280	19.18	Topçu, who completed his doctorate in philosophy at the Sorb
175	178	9.600	18.54	What Topçu calls rebellion is not destructiveness but the mo
176	142	8.160	17.40	For him morality is not something thought but something done
177	156	8.480	18.40	This looks toward the same place as Frankl's idea of answeri
178	76	4.640	16.38	Now let us return to Tolstoy, because we have not told the e
179	209	10.880	19.21	After those years in which he hid the cord he did not kill h
180	88	4.800	18.33	According to what he says in A Confession, what pulled him o
181	116	6.240	18.59	He looked at the educated and well-off people around him and
182	62	3.520	17.61	Then he looked at the ordinary peasants working the same soi
