sira	karakter	saniye	kar_sn	metin
1	55	3.360	16.37	Her yıl bir milyon insan onun önünde fotoğraf çektirdi.
2	118	7.040	16.76	Kimse iki metre altında kimlerin yattığını bilmiyordu — ta k
3	69	4.960	13.91	İçeride on iki ceset vardı ve birinin elinde hâlâ bir kâse d
4	119	7.200	16.53	yirmi iki Ağustos bin sekiz yüz on iki sabahı, Ürdün'ün güne
5	50	3.360	14.88	Kendini Şeyh İbrahim ibn Abdullah diye tanıtmıştı.
6	98	5.760	17.01	Aksanı biraz tuhaftı, ama bunu Hindistan'da doğup büyümüş bi
7	88	5.920	14.86	Sakalı uzundu, elbisesi yol tozuyla kaplıydı, Kur'an'dan sur
8	38	2.720	13.97	Köylüler onun kim olduğunu bilmiyordu.
9	49	3.200	15.31	Bilselerdi muhtemelen o gün oradan sağ çıkamazdı.
10	43	3.360	12.80	Adamın gerçek adı Yohan Ludvig Burkhart'tı.
11	199	12.960	15.35	bin yedi yüz seksen dörtte Lozan'da doğmuş, Laypzig ve Götti
12	35	2.400	14.58	yani Afrika Derneği ile anlaşmıştı.
13	42	2.560	16.41	Görevi Nijer Nehri'nin kaynağını bulmaktı.
14	107	6.720	15.92	Bu iş için Sahra'yı bir kervanla geçmesi, bunun için de kusu
15	179	11.200	15.98	Hazırlığı ciddiye almıştı: Halep'te iki buçuk yıldan fazla k
16	73	4.640	15.73	bin sekiz yüz on iki yazında Şam'dan yola çıktığında Kahire'
17	37	2.720	13.60	Kahire'den de Fizan'a, oradan güneye.
18	26	2.240	11.61	Petra onun hedefi değildi.
19	19	1.440	13.19	Petra bir sapmaydı.
20	120	7.680	15.62	Yolda duyduğu bir söylenti vardı: Harun Dağı'nın eteğinde, d
21	170	10.240	16.60	Bedeviler oraya girmeye kalkışan yabancıları hoş karşılamıyo
22	46	3.680	12.50	Burkhart'ın elinde tek bir kozu vardı: bahane.
23	66	4.320	15.28	Peygamber Harun'un makamının o dağın tepesinde olduğunu bili
24	148	9.120	16.23	Köyde bir keçi satın aldı, adak adadığını, bu keçiyi Harun'u
25	67	4.640	14.44	Kılavuz onu vadinin ağzına, kayanın içine giren bir yarığa g
26	151	9.280	16.27	Arapların es-Sik dediği, kısaca Yarık diyebileceğimiz bu geç
27	76	4.480	16.96	iki yanı yüz metreyi bulan kırmızı kum taşı duvarlarla kapal
28	33	2.400	13.75	İçeride gökyüzü bir çizgiye iner.
29	12	0.960	12.50	Ses değişir.
30	38	3.040	12.50	Işık, gün ortasında bile kızıla çalar.
31	158	10.400	15.19	Burkhart yürürken duvarlarda oyuk nişler, su kanalları, aşın
32	95	6.240	15.22	Defterini elbisesinin altına gizliyor, kılavuz başka yöne ba
33	25	2.080	12.02	Sonra Yarık aniden bitti.
34	160	10.720	14.93	Ve tam karşısında, dar çerçevenin içinde, kayanın yüzüne oyu
35	43	3.840	11.20	Yerliler ona el-Hazne diyordu, yani Hazine.
36	88	5.120	17.19	Burkhart'ın bu manzara karşısında ne hissettiğini tam olarak
37	133	8.960	14.84	Yazabildiği şey soğuk ve ölçülüdür: Vadi Musa'daki kalıntıla
38	13	1.440	9.03	Oyalanamazdı.
39	55	3.520	15.62	Vadinin içinde ilerledikçe kılavuzun sabrı tükeniyordu.
40	128	8.640	14.81	Adam sonunda patladı: Harun'un mezarı yukarıdaydı, bu kâfir 
41	30	2.080	14.42	Burkhart tartışmayı büyütmedi.
42	65	4.480	14.51	Keçiyi dağın eteğinde kurban etti, alacakaranlıkta vadiden ç
43	88	5.920	14.86	Dünyanın en büyük arkeolojik alanlarından birinin içinde top
44	49	3.680	13.32	Tek bir ölçü alamamış, tek bir çizim yapamamıştı.
45	43	2.560	16.80	Onun bulduğu şey aslında kaybolmuş değildi.
46	121	8.320	14.54	Vadide yaşayan Bedeviler o cepheleri her gün görüyordu; mağa
47	63	4.000	15.75	Kaybolan şey, Petra'nın Avrupa'nın bilgi haritasındaki yeriy
48	88	5.760	15.28	Haçlı seferlerinden beri, yaklaşık altı yüz yıldır oraya Bat
49	36	2.720	13.24	Burkhart keşfinin ününü hiç görmedi.
50	212	14.240	14.89	Kahire'ye ulaştı, Nil boyunca güneye indi, bin sekiz yüz on 
51	96	5.920	16.22	Sahra'yı geçecek kervanı beklerken, bin sekiz yüz on yedi Ek
52	20	1.440	13.89	otuz iki yaşındaydı.
53	54	3.840	14.06	Şeyh İbrahim adıyla, bir Müslüman mezarlığına gömüldü.
54	126	8.320	15.14	Günlükleri ölümünden beş yıl sonra, bin sekiz yüz yirmi ikid
55	111	8.000	13.88	Kitap çıktığı anda Avrupa'da bir Petra çılgınlığı başlattı: 
56	25	1.920	13.02	Ve hepsi aynı şeyi yaptı.
57	72	4.640	15.52	Yarıktan çıktılar, başlarını kaldırdılar, Hazine'nin cephesi
58	122	7.360	16.58	Bu manzara iki yüz yıl boyunca o kadar güçlü bir manyetizma 
59	103	6.880	14.97	Burkhart'ın gördüğü şehri yapan halkın adı Nabatiler'di ve t
60	48	3.840	12.50	Elimizdeki en eski kayıt MÖ üç yüz on ikiye ait.
61	145	9.280	15.63	İskender'in komutanlarından Antigonos, Suriye ve çevresini e
62	71	4.960	14.31	Athenaios adlı komutanını dört bin piyade ve altı yüz atlıyl
63	125	8.160	15.32	Baskın, Nabatilerin sığındığı, yalnızca dar bir geçitten gir
64	142	9.600	14.79	Saldırganlar erkeklerin çoğunun bir panayıra gittiği bir gec
65	37	2.240	16.52	Hata, dönüş yolunda konaklamalarıydı.
66	97	6.240	15.54	Nabatiler gece boyunca izlerini sürüp şafakta kampı bastı ve
67	110	7.200	15.28	Bu olayı, saldırgan tarafın subaylarından Hieronymos'un anla
68	138	9.760	14.14	Diodoros aynı metinde, Nabatilerin çölde neden yenilmez oldu
69	84	5.280	15.91	ağızlarını örtüyor ve yerlerini yalnızca kendileri bilecek ş
70	85	5.280	16.10	Peşlerine düşen bir ordu birkaç gün içinde susuzluktan geri 
71	56	3.840	14.58	Nabatilerin ilk silahı kılıç değil, suyun saklanmasıydı.
72	110	6.240	17.63	Bu halk, güney Arabistan'ın buhur ve mürünü Akdeniz limanlar
73	168	10.880	15.44	Buhur, antik dünyanın her tapınağında yakılan, ağırlığına gö
