sira	karakter	saniye	kar_sn	metin
1	158	9.760	16.19	Sektör ekipler, motorlar ve yüksek seviye dillerle büyürken 
2	156	10.560	14.77	Ortaya çıkan lunaparkta her ziyaretçinin adı, parası ve mide
3	91	5.280	17.23	Peki bu kadar kazandıran oyunun yaratıcısı neden sonunda ken
4	127	7.680	16.54	bin dokuz yüz doksanların ortasında İskoçya'nın orta kesimin
5	72	5.120	14.06	Kapısında stüdyo tabelası yoktu, arkasında yatırımcı yoktu, 
6	164	10.240	16.02	Odasında birkaç bilgisayar, kulağında kendi seçtiği müzik ve
7	129	7.680	16.80	Chris Sawyer, Glasgow'daki Strathclyde Üniversitesi'nden bil
8	49	3.520	13.92	Kariyerinin ilk yılları parlak değil, sabırlıydı.
9	113	6.880	16.42	bin dokuz yüz seksen sekiz ile bin dokuz yüz doksan üç arası
10	193	12.160	15.87	Bu iş, dışarıdan bakıldığında yaratıcılıkla ilgisi olmayan, 
11	30	1.920	15.62	Ama bu iş ona bir şey öğretti.
12	134	8.960	14.96	Bir uzay ticareti oyununun dönüşümünü yaparken, özgün sürümd
13	137	8.640	15.86	Yıllar içinde xseksen altı işlemci ailesinin komut setini öy
14	91	6.080	14.97	Parmakları, çoğu programcının yalnızca ders kitaplarında gör
15	48	3.040	15.79	bin dokuz yüz doksan dörtte kendi oyununu yaptı.
16	174	11.040	15.76	Transport Tycoon, yani Türkçesiyle Taşımacılık Patronu, tren
17	81	4.800	16.88	Beklenmedik biçimde tuttu; bir yıl sonra çıkan geliştirilmiş
18	72	4.480	16.07	Sawyer artık bir sonraki projesini istediği gibi seçebilecek
19	32	2.080	15.38	Herkes devam oyununu bekliyordu.
20	39	2.560	15.23	O da başlangıçta aynı şeyi düşünüyordu.
21	36	2.720	13.24	Bunun yerine parayı alıp yola çıktı.
22	55	3.680	14.95	Avrupa'yı ve Amerika'yı dolaştı, tema parklarını gezdi.
23	57	4.000	14.25	İşin tuhaf yanı şu: hız trenlerini başta sevmiyordu bile.
24	88	6.240	14.10	Yüksekten düşen, ters dönen, insanı koltuğa yapıştıran o mak
25	32	1.920	16.67	Sonra bir yerde bir şey değişti.
26	165	10.400	15.87	Tutkular çoğu zaman böyle başlar; önce direnirsiniz, sonra f
27	47	3.200	14.69	Sawyer bu eşiği geçti ve bir daha geri dönmedi.
28	56	3.520	15.91	Ömrü boyunca yedi yüzden fazla farklı hız trenine bindi.
29	61	4.000	15.25	Bu takıntı, planlanan devam oyununu içeriden bükmeye başladı
30	171	11.360	15.05	Nakliye oyununda yaptığı şeyi düşünün: arazi üzerine ray döş
31	35	2.400	14.58	Lunapark treni de tam olarak budur.
32	47	3.680	12.77	Aynı geometri, aynı fizik, aynı döşeme mantığı.
33	31	2.240	13.84	Değişen tek şey rayın amacıdır.
34	61	4.640	13.15	Nakliyede ray bir araçtır; yolcuyu bir yerden bir yere taşır
35	38	2.880	13.19	Lunaparkta ise ray, ürünün kendisidir.
36	100	6.400	15.62	Yolcu hiçbir yere gitmez, başladığı noktaya döner; satın ald
37	123	7.200	17.08	Sawyer bir mühendislik problemini bir duygu problemine çevir
38	124	7.680	16.15	İlk adı White Knuckle'dı; korkudan parmakların beyazlaması a
39	130	9.280	14.01	Sonradan, önceki oyunun geleneğini sürdürmek için bugün bild
40	21	1.440	14.58	Yapımı iki yıl sürdü.
41	113	7.680	14.71	Bu iki yıl boyunca oyunun tasarımcısı, programcısı, seviye k
42	111	7.360	15.08	Endüstri o yıllarda düzinelerce kişilik ekiplere, ayrı motor
43	77	5.120	15.04	Lunapark Patronu ise bir köy evinde, tek bir insanın kafasın
44	187	11.200	16.70	Sawyer'ın kullandığı araçların listesi, bugün bakıldığında n
45	84	5.280	15.91	DirectX'in beşinci sürüm geliştirme kiti ve kendi yazdığı bi
46	94	5.760	16.32	Oranlar ise şöyleydi: oyunun yüzde doksan dokuzu doğrudan xs
47	84	5.280	15.91	Geri kalan yüzde birlik C kodu yalnızca Windows'a ve DirectX
48	40	2.560	15.62	Bunun ne demek olduğunu açmak gerekiyor.
49	75	4.800	15.62	Yüksek seviyeli bir dilde yazarken, makineyle aranızda bir t
50	82	5.760	14.24	Siz niyetinizi söylersiniz, derleyici onu işlemcinin anlayac
51	119	7.200	16.53	Bellek yönetimini, hangi değerin hangi yazmaçta duracağını, 
52	35	2.240	15.62	Makine dilinde ise tercüman yoktur.
53	34	2.400	14.17	Her komutu tek tek siz yazarsınız.
54	59	4.000	14.75	Bellekteki her baytın nerede durduğunu siz takip edersiniz.
55	139	8.960	15.51	Ve hata yaptığınızda size kibar bir uyarı gelmez; program çö
56	70	4.800	14.58	bin dokuz yüz doksan yedi yılında bu yöntem zaten eskimiş sa
57	39	3.680	10.60	Ciddi oyunlar C ve C++ ile yazılıyordu.
58	117	7.520	15.56	Sawyer bildiği yoldan gitti, çünkü hem parmakları o dili bil
59	25	1.920	13.02	Peşinde olduğu şey hızdı.
60	106	6.560	16.16	Oyunun asgari sistem gereksinimleri doksan megahertz'lik bir
61	34	2.400	14.17	Yani sıradan bir ofis bilgisayarı.
62	72	4.640	15.52	Ve bu mütevazı makinenin sırtına yüklenecek yük hiç de mütev
63	61	3.680	16.58	Çünkü Lunapark Patronu'nda ziyaretçi sayısı bir sayı değildi
64	58	3.840	15.10	Ekrandaki o küçük renkli figürlerin her birinin adı vardı.
65	46	3.040	15.13	Her birinin cüzdanında belirli bir para vardı.
66	149	10.400	14.33	Her birinin mutluluk seviyesi, açlığı, susuzluğu, tuvalet ih
67	148	9.280	15.95	Dahası, her ziyaretçinin ne kadar sert bir yolculuk istediği
68	36	2.240	16.07	Bu değişkenler birbirini besliyordu.
69	91	5.920	15.37	Ziyaretçi acıkıyor, yemek satan bir büfe arıyor, yiyor, sonr
70	152	9.920	15.32	Şiddetli bir trene bindiğinde bulantısı yükseliyordu; eşiğin
71	87	6.080	14.31	Ve işin en zalim kısmı şuydu: o kusmuğu gören diğer ziyaretç
72	159	10.400	15.29	Yani tek bir kötü tasarlanmış hız treni, yolun ortasında bir
73	62	4.160	14.90	düşen park puanı kapıdan giren ziyaretçi sayısını azaltıyord
74	59	4.160	14.18	Bir tasarım hatası, parkın içinden dalga dalga yayılıyordu.
75	92	5.920	15.54	Üstelik bu figürlerin her biri, oyunun her anında yol ağının
76	76	5.280	14.39	Yüzlerce, kimi parklarda binlerce ajan, aynı anda, aynı işle
77	199	13.920	14.30	Sawyer'ın kendi ifadesiyle mesele şuydu: kusursuz çalışan bi
78	33	2.560	12.89	İşte makine dilinin sebebi buydu.
79	63	4.320	14.58	Sawyer bu döngülerin içinden tek tek işlemci çevrimi söküyor
80	121	8.480	14.27	Masasında iki bilgisayar tutuyordu: biri hızlıydı, üzerinde 
81	59	4.160	14.18	Görsel tarafta, serbest çalışan Simon Foster devreye girdi.
82	183	11.680	15.67	Foster çizimleri doğrudan elle yapmadı; nesneleri üç boyutlu
