sira	karakter	saniye	kar_sn	metin
1	13	1.760	7.39	İyi akşamlar.
2	99	5.920	16.72	Nöron Haber akşam bülteninde bugünün öne çıkan gelişmelerini
3	45	3.840	11.72	Bugün iki Eylül iki bin yirmi altı, Çarşamba.
4	10	1.280	7.81	Ben Pınar.
5	10	0.960	10.42	Ben Barış.
6	125	8.000	15.62	Bu akşam dünyadan ekonomiye, teknolojiden Türkiye gündemine 
7	17	2.080	8.17	Pınar, söz sende.
8	98	7.360	13.32	Dünya ve ABD masasına geçiyoruz; açıkçası son yirmi dört saa
9	41	2.880	14.24	Gündemin ilk sırasında yine Ortadoğu var.
10	207	13.600	15.22	ABD Central Command, yani Merkez Kuvvetler Komutanlığı, dün 
11	166	11.840	14.02	Vurulan noktalar arasında Bandar Abbas yakınları, Kışm Adası
12	196	12.800	15.31	Merkez Kuvvetler Komutanlığı gerekçe olarak, pazartesi geces
13	47	3.360	13.99	Bu saldırıların ardından tablo hızla ağırlaştı.
14	184	11.840	15.54	İran tarafı, Hürmüzgan eyaletine bağlı Sirik'te bir düğün ev
15	100	7.040	14.20	Tahran olayı savaş suçu olarak nitelendirdi, yaralıların ell
16	151	11.200	13.48	Devrim Muhafızları bugün misilleme olarak Ürdün, Bahreyn, Ir
17	193	13.120	14.71	Ürdün ordusu İran'dan atılan on balistik füzeyi düşürdüğünü,
18	59	3.680	16.03	Hasarın boyutu konusunda henüz doğrulanmış bir bilanço yok.
19	51	3.360	15.18	Bu tablonun piyasadaki karşılığı da anında görüldü.
20	144	10.240	14.06	Brent tipi ham petrol dün yaklaşık yüzde beş yükselerek doks
21	96	6.880	13.95	Bugün fiyat doksan dört virgül seksen altı dolar bandında, s
22	145	9.920	14.62	Altı aydır süren Hürmüz krizi, boğazın yeniden normal trafiğ
23	88	6.080	14.47	enerji ithalatçısı ülkeler için maliyet baskısı da bu yüzden
24	46	3.200	14.38	Avrupa'da ise günün başlığı Almanya'dan geldi.
25	176	11.520	15.28	Alman hükümeti dün, dört Ağustos'ta Laypzig/Halle Havalimanı
26	204	13.120	15.55	Söz konusu havalimanı hem sivil kargo hem de NATO lojistiği 
27	162	11.200	14.46	İçişleri Bakanı Aleksander Dobrint, aracın konfigürasyonu, p
28	64	4.160	15.38	Berlin buna karşılık bir Rus konsolosluğunu kapatma kararı a
29	34	2.400	14.17	Moskova suçlamaları kabul etmiyor.
30	55	3.360	16.37	Bu gelişme Avrupa Birliği cephesinde de karşılık buldu.
31	84	5.440	15.44	Avrupa Komisyonu Başkanı Ursula fon der Layen bugün gazeteci
32	138	9.120	15.13	olayın Moskova'nın artan pervasızlığını gösterdiğini söyledi
33	112	7.840	14.29	Avrupalı dışişleri bakanlarının bu hafta içinde ek yaptırıml
34	97	6.240	15.54	Aynı zamanda Ukrayna'ya mali ve askeri desteğin artırılması 
35	55	4.160	13.22	ABD'nin iç siyasetinde ise bir kriz şimdilik ertelendi.
36	195	12.960	15.05	Temsilciler Meclisi dün üç yüz yetmişe karşı kırk sekiz oyla
37	104	6.880	15.12	Senato tasarıyı zaten büyük çoğunlukla onaylamıştı, metin şi
38	115	7.840	14.67	Bu karar, bir Ekim'de gündeme gelebilecek bir hükümet kapanm
39	117	8.320	14.06	ancak aralıkta Kongre'yi on iki ayrı yıllık harcama tasarısı
40	27	1.920	14.06	Latin Amerika'ya geçiyoruz.
41	209	13.280	15.74	Amerikan petrol devi Chevron, Venezuela'daki faaliyetlerini 
42	70	4.160	16.83	günlük altı yüz bin varil seviyesine çıkarmayı hedeflediğini
43	190	12.000	15.83	Bu adım, Başkan Trump'ın geçen hafta duyurduğu ve Venezuela'
44	154	10.240	15.04	Trump anlaşmayı Amerikan petrol rezervlerini iki katından fa
45	180	11.520	15.62	Enerji Bakanı Chris Wright'ın bu hafta ülkeyi ziyaret ederek
46	49	3.360	14.58	ABD'de yargı gündeminden de önemli bir karar var.
47	122	8.320	14.66	Utah'ta hakim Tony Graf, Tyler Robinson'ın Charlie Kirk cina
48	116	8.320	13.94	Provo'daki duruşmada savcılığın yönelttiği yedi suçlamanın t
49	103	7.040	14.63	yirmi üç yaşındaki sanık, ölüm cezası da istenebilen ağırlaş
50	173	11.520	15.02	Kirk, Turning Point USA adlı muhafazakâr öğrenci örgütünün k
51	125	8.320	15.02	Savcılık, görüntü kayıtlarını, silah üzerindeki DNA bulgular
52	84	6.080	13.82	Bu kadar farklı başlık aynı güne sığmışken merak ediyorum, s
53	119	8.320	14.30	Bakınca hepsi ayrı ayrı haber gibi duruyor ama aslında ortak
54	218	14.560	14.97	Hürmüz'de her saldırı dalgası petrolü yukarı itiyor, Washing
55	48	3.200	15.00	Karayipler'deki yatırımın gerekçesine dönüşüyor.
56	199	13.440	14.81	Laypzig'deki olay ise bize savaşın sadece cephede değil, loj
57	74	4.640	15.95	hibrit tehdidi artık istisna değil süreklilik olarak gördüğü
58	203	13.920	14.58	ABD'nin geçici bütçeyi on bir Aralığa ötelemesi de aynı mant
59	73	5.120	14.26	Bizim açımızdan asıl takip edilecek başlık ise Sirik'teki si
60	149	9.600	15.52	çünkü bu tür olaylar bölgesel diplomasinin zeminini daraltıy
61	157	9.760	16.09	Şimdi günün teknoloji ve yapay zeka başlıklarına geçiyoruz; 
62	187	13.280	14.08	Dün Brüksel'den gelen karara göre European Commission, yani 
63	156	10.880	14.34	Kararın gerekçesi, uygulamanın Avrupa Birliği genelinde bild
64	181	12.160	14.88	Bu sınıflandırma, OpenAI'ın sistemik risk değerlendirmesi ya
65	49	3.360	14.58	Yapay zeka altyapısındaki büyüme de hız kesmiyor.
66	129	8.480	15.21	Anthropic, Nvidia'nın yatırım yaptığı bulut sağlayıcısı Lamb
67	174	12.000	14.50	Anlaşmanın merkezinde, Teksas'ın Nueses bölgesinde Hut sekiz
68	189	11.840	15.96	Şirketin yalnızca son bir hafta içinde taahhüt ettiği toplam
69	42	3.680	11.41	Aynı şirket, telif cephesinde de gündemde.
70	139	9.280	14.98	Sony Music Publishing ve Warner Chappell Music, Anthropic ve
71	156	10.240	15.23	Müzik yayıncıları, modellerin eğitiminde şarkı sözlerinin iz
72	84	5.120	16.41	Şirket tarafından yapılmış ayrıntılı bir savunma açıklaması 
73	88	5.600	15.71	Amerika Birleşik Devletleri'nde ise yapay zekanın kamu kulla
74	136	11.680	11.64	Department of Defense, yani ABD Savunma Bakanlığı, kendi pla
75	180	11.200	16.07	Böylece üç milyondan fazla asker ve sivil personel bu araçla
76	56	3.520	15.91	Avrupa cephesinde hesaplama gücü yatırımları da sürüyor.
77	183	13.120	13.95	EuroHPC, yani Avrupa Yüksek Başarımlı Hesaplama Ortak Girişi
78	97	6.880	14.10	Sistem, Avrupa'da geliştirilen büyük modellerin eğitiminde y
79	75	5.760	13.02	Türkiye'de ise bugünün başlığı kamu personeline yönelik yapa
80	156	10.080	15.48	Kamu çalışanlarına temel yapay zeka okuryazarlığı için çevri
81	83	5.280	15.72	tamamlanma ve başarı oranları insan kaynakları sistemleri üz
82	110	7.520	14.63	Adım, Resmi Gazete'de yayımlanan iki bin yirmi altı-iki bin 
83	216	14.400	15.00	Sektör tarafında ise takvimde dokuz ve on Eylül'de İstanbul 
84	77	4.640	16.59	Barış, bu tablo bana biraz hızlanan bir tren izlenimi veriyo
85	59	4.640	12.72	Bence bugünün haberleri aynı hikâyenin üç ayrı yüzü, Pınar.
86	195	12.640	15.43	Bir yanda Avrupa Komisyonu'nun ChatGPT kararı var; bu, yapay
87	68	4.320	15.74	dolayısıyla denetim de arama motorlarına uygulanan ölçüye çe
88	162	11.520	14.06	Diğer yanda Anthropic'in bir haftada seksen milyar dolara ul
89	153	9.920	15.42	üç yüz elli megavat dediğimiz şey küçük bir şehrin tüketimi 
90	201	13.760	14.61	Müzik yayıncılarının açtığı dava ise madalyonun üçüncü yüzü:
91	133	8.000	16.62	Türkiye'ye baktığımızda ise eylem planının kâğıt üzerinde ka
92	119	7.680	15.49	kamuda okuryazarlık ve süreçlere gerçekten dokunan kullanım 
93	143	8.640	16.55	Yani hem düzenleme hem altyapı hem de yetkinlik aynı anda ku
94	92	5.920	15.54	Ekonomi ve piyasalar tarafında bugün oldukça hareketli bir g
95	76	5.120	14.84	Borsa İstanbul haftanın üçüncü işlem gününe sert bir satış d
96	102	7.200	14.17	BIST yüz endeksi güne yüzde sıfır virgül yetmiş dokuz düşüşl
97	163	11.200	14.55	gün ortasında on üç bin dokuz yüz otuz puana kadar geriledi 
98	75	5.920	12.67	Sektör endekslerinde en sert kayıp bilişim ve bankacılık tar
99	161	10.240	15.72	Döviz cephesinde dolar kırk sekiz virgül otuz lira, avro ell
100	32	2.720	11.76	Altında ise tablo tersine döndü.
101	164	11.040	14.86	Gün içinde altı bin altı yüz seksen dört liraya kadar inen g
102	56	3.840	14.58	Ons altın da dört bin üç yüz dört dolara kadar geriledi.
103	69	4.960	13.91	Buna karşılık Brent petrolün varili doksan beş doların üzeri
