sira	karakter	saniye	kar_sn	metin
1	153	8.480	18.04	Silver and gold sit one beneath the other in the periodic ta
2	111	5.920	18.75	Chemistry is not enough to explain that difference — you nee
3	139	7.360	18.89	Because gold's innermost electrons are circling at one hundr
4	80	4.640	17.24	Picture two rings in a jeweller's window, lying side by side
5	97	5.600	17.32	Both were hammered into the same shape, polished on the same
6	28	2.400	11.67	One is white, one is yellow.
7	98	4.960	19.76	We take that difference so utterly for granted from childhoo
8	60	3.360	17.86	And yet chemistry expects these two metals to be near-twins.
9	62	3.680	16.85	On the periodic table, silver and gold sit in the same colum
10	56	3.360	16.67	Copper is with them too, at the top of that same column.
11	144	8.800	16.36	All three have the same arrangement of outer electrons: a co
12	72	4.320	16.67	The whole power of the periodic table is hidden in exactly t
13	36	3.200	11.25	Same column means similar behaviour.
14	74	5.120	14.45	Drop sodium into water, then potassium, and both froth with 
15	74	4.480	16.52	Fluorine and chlorine snatch electrons from anything that co
16	30	2.400	12.50	The logic of the column works.
17	53	3.360	15.77	Gold and silver keep that promise, for the most part.
18	72	4.320	16.67	Both are extraordinarily soft, spreading under a hammer with
19	108	6.560	16.46	Both conduct electricity superbly; silver is the best conduc
20	99	5.760	17.19	Both settle into the same crystal arrangement in the solid s
21	76	5.920	12.84	Their atomic radii are even almost exactly the same, roughly
22	145	8.320	17.43	That fact alone is strange, because gold sits a full row bel
23	10	1.280	7.81	It is not.
24	144	9.760	14.75	And because far more mass is packed into the same volume, go
25	35	2.240	15.62	But one is white and one is yellow.
26	59	3.520	16.76	Let us first look at what the colour of a metal even means.
27	138	7.040	19.60	Metals are lustrous because inside them there is a sea of el
28	176	9.600	18.33	That sea does not care what frequency the light falling on i
29	60	3.360	17.86	Every colour of visible light is sent back in equal measure.
30	38	2.400	15.83	The result is a colourless brightness.
31	86	5.440	15.81	This is how a mirror works, this is why steel looks grey, th
32	128	6.880	18.60	For a metal to acquire a colour, that equality has to break 
33	79	4.480	17.63	A little way beneath the sea of free electrons lies a comple
34	105	5.920	17.74	An electron down there can leap up and join the sea, but doi
35	50	4.320	11.57	In silver that threshold is about 4 electronvolts.
36	83	5.280	15.72	Convert it to a wavelength and you get 310 nanometres, which
37	94	5.280	17.80	In other words, the light silver is capable of absorbing lie
38	73	4.160	17.55	The whole of visible light comes back untouched, and silver 
39	69	4.640	14.87	In gold, the threshold for that same leap is about 2.4 elect
40	110	7.360	14.95	That means 520 nanometres, and that falls squarely inside vi
41	146	8.000	18.25	Gold swallows the violet and blue portion of the light falli
42	44	2.560	17.19	Our eye reads that mixture as a warm yellow.
43	80	4.320	18.52	The yellow of gold is really the absence of the blue that go
44	25	2.400	10.42	So the question sharpens.
45	147	8.000	18.38	If the outer electron arrangement of the two metals is the s
46	120	5.920	20.27	then why does that threshold sit in the ultraviolet for one 
47	150	8.800	17.05	The gap between them is more than 1.5 electronvolts; on the 
48	82	5.120	16.02	Let us set copper aside, because the answer to copper's redn
49	167	8.960	18.64	In copper the d band already sits very close to the conducti
50	38	2.720	13.97	Copper is the easy member of the trio.
51	20	2.080	9.62	The anomaly is gold.
52	39	2.560	15.23	And gold's anomaly does not come alone.
53	80	5.760	13.89	Silver slowly tarnishes in air, a dark layer of sulphide for
54	22	1.920	11.46	Gold does not tarnish.
55	138	7.520	18.35	When a gold mask that has waited 3,000 years under the earth
56	126	6.400	19.69	That one of two metals sitting in the same column should be 
57	114	7.040	16.19	The answer to these three oddities — the colour, the size, a
58	81	5.120	15.82	The answer is in a paper written in 1905 on the electrodynam
59	75	4.800	15.62	You do not need to look at black holes or satellite orbits t
60	45	2.560	17.58	Looking at the ring on your finger is enough.
61	51	5.120	9.96	In the nucleus of a gold atom there are 79 protons.
62	84	4.640	18.10	That is the number which determines how fierce the pull exer
63	174	9.280	18.75	The innermost electron is held right at the bottom of that n
64	134	8.160	16.42	In the simple model of the atom, the speed of the innermost 
65	183	10.560	17.33	That number 137 is not arbitrary; it is the inverse of the f
66	119	8.160	14.58	In hydrogen, that is to say in a nucleus with a single proto
67	11	1.280	8.59	Negligible.
68	31	3.200	9.69	But in gold we have 79 protons.
69	40	4.960	8.06	79 divided by 137 comes to roughly 0.58.
70	135	8.320	16.23	Which is to say the innermost electron of a gold atom moves 
71	193	10.720	18.00	A margin of honesty has to be left here: the electron does n
72	143	7.840	18.24	But the order of magnitude of the momentum is right, and ful
73	126	6.560	19.21	The inner electrons of gold have long since entered the regi
74	49	2.720	18.01	What happens at 58 percent of the speed of light?
75	40	2.720	14.71	This is where special relativity enters.
76	104	6.240	16.67	The inertia of a moving body increases; the electron behaves
77	118	6.720	17.56	And since the diameter of the region the electron occupies i
78	115	5.760	19.97	The innermost shell is roughly one fifth smaller than it wou
79	30	2.400	12.50	It collapses onto the nucleus.
80	54	3.520	15.34	Who cares about the innermost electron, you might say.
81	49	2.880	17.01	It is the outer electron that does the chemistry.
82	82	5.280	15.53	And here is precisely the crux of the story: the contraction
83	139	7.840	17.73	A strict rule of quantum mechanics requires electron regions
84	108	6.080	17.76	So when the innermost s region contracts, all the s regions 
85	69	4.320	15.97	In gold, the chain reaches all the way out to the outermost 
86	60	6.080	9.87	And that outermost electron is exactly what makes gold gold.
87	114	5.600	20.36	The contraction that relativity sets off at the bottom of th
88	87	5.280	16.48	That electron is drawn inward, bound more tightly to the nuc
89	65	3.520	18.47	At the same time a second effect works in the opposite direc
90	108	5.760	18.75	The s and p electrons that have collapsed inward screen the 
91	162	8.480	19.10	The d electrons out beyond them never venture down to the bo
92	45	3.360	13.39	They loosen, they expand, their energy rises.
93	29	1.760	16.48	Now put the picture together.
94	118	6.400	18.44	In gold, the energy of the lone outer electron goes down, an
95	76	4.640	16.38	The gap between them closes from both sides at once, like a 
96	134	7.360	18.21	Calculations that leave relativity out find that threshold i
97	105	6.560	16.01	Calculations that include relativity bring the threshold dow
98	41	3.040	13.49	This is not a claim that stayed on paper.
99	176	10.720	16.42	A relativistic band calculation carried out in 1971 reproduc
100	74	4.960	14.92	Switch relativity off in the computer and gold turns the col
101	32	2.400	13.33	Switch it on and it goes yellow.
102	36	2.880	12.50	So why does it not happen in silver?
103	37	3.200	11.56	Silver has 47 protons in its nucleus.
104	40	4.800	8.33	47 divided by 137 comes to roughly 0.34.
105	154	8.320	18.51	A third of the speed of light — still an unthinkable speed —
